"record_id","registration","normalized_registration","vehicle_make_as_stored","vehicle_model","vehicle_year","chassis_number","operational_vehicle_type_if_matched","proposed_asset_category","exists_in_shared_vehicle_master","exists_in_drivers","exists_in_fuel_logs","exists_in_weekly_mileage","exists_in_maintenance","exists_in_trip_journey","exists_in_booking_diary","relationship_classification"
"8fd4f71d-63f7-4a4f-85e6-3b5495d1de64","701-5145","7015145","Isuzu",,"2021","MP1FTR34THT002477","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","No","A. Operational fleet vehicle"
"3dcff5e7-b1d9-4e2d-817e-e28be13ce350","74-8969","748969","NISSAN",,"2001","PKB211N00292","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
"c477bc1e-7dde-420a-9618-6ca079e8cd4e","77-5902","775902",,,,,,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"39971a11-34b9-4079-8c2e-47e01da60b1b","77-8513","778513",,,,,,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"fce76849-c36b-485c-9f68-f217eb7a43dc","78-6996","786996","HINO",,"2009","FG8JRLA12086","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","Yes","No","No","A. Operational fleet vehicle"
"38330b8f-3092-41ab-97f4-d567e542ae71","79-2945","792945","HINO",,"2010","FG8JRLA12348","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
"bffcfab3-0d49-47bb-bc41-d2bce6c2a87b","79-5318","795318","HINO",,"2011","SS3VJC10209","EIGHTEEN_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
"a39444f7-8cd9-445f-a5bf-194bba476129","ญค-280","ญค280","TOYOTA CAMRY",,"2011","MR053BK4107060904",,"Passenger Car","No","No","No","No","No","No","No","C. Passenger/personal/company car"
"e56bfebe-a5a6-4a33-b3ac-f59a509c5c00","ญม3824","ญม3824","TOYOTA COROLLA ALTIS",,"2011","MR053REE204113437",,"Passenger Car","No","No","No","No","No","No","No","C. Passenger/personal/company car"
"8a255e2b-41aa-494d-a34f-b31184bb9211","ฒอ8453","ฒอ8453","TOYOTA Hilux Vigo",,"2013","MROCX12G200106928","FOUR_WHEEL_TRUCK","Pickup","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"2f8f17c9-f5c7-4b0d-afd0-a87b9b00f861","ภอ6656","ภอ6656",,,,,,"Unknown","No","No","No","No","No","No","No","G. Unable to determine safely"
"db4e0e22-7267-4451-a5e6-cdd561be22eb","สินค้า","สินค้า",,,,,,"Unknown","No","No","No","No","No","No","No","G. Unable to determine safely"
